Eastern Conference,W,L,W/L%,GB,PS/G,PA/G,SRS,Year
Detroit Pistons,44,38,0.537,13.0,102.0,101.4,0.43,2016
Chicago Bulls,42,40,0.512,15.0,101.6,103.1,-1.46,2016
Washington Wizards,41,41,0.5,16.0,104.1,104.6,-0.5,2016
Orlando Magic,35,47,0.427,22.0,102.1,103.7,-1.68,2016
Milwaukee Bucks,33,49,0.402,24.0,99.0,103.2,-3.98,2016
New York Knicks,32,50,0.39,25.0,98.4,101.1,-2.74,2016
Brooklyn Nets,21,61,0.256,36.0,98.6,106.0,-7.12,2016
Philadelphia 76ers,10,72,0.122,47.0,97.4,107.6,-9.92,2016
Boston Celtics,53,29,0.646,0.0,108.0,105.4,2.25,2017
Cleveland Cavaliers,51,31,0.622,2.0,110.3,107.2,2.87,2017
Toronto Raptors,51,31,0.622,2.0,106.9,102.6,3.65,2017
Washington Wizards,49,33,0.598,4.0,109.2,107.4,1.36,2017
Atlanta Hawks,43,39,0.524,10.0,103.2,104.0,-1.23,2017
Milwaukee Bucks,42,40,0.512,11.0,103.6,103.8,-0.45,2017
Indiana Pacers,42,40,0.512,11.0,105.1,105.3,-0.64,2017
Chicago Bulls,41,41,0.5,12.0,102.9,102.4,0.03,2017
Miami Heat,41,41,0.5,12.0,103.2,102.1,0.77,2017
Detroit Pistons,37,45,0.451,16.0,101.3,102.5,-1.29,2017
Charlotte Hornets,36,46,0.439,17.0,104.9,104.7,-0.07,2017
New York Knicks,31,51,0.378,22.0,104.3,108.0,-3.87,2017
Orlando Magic,29,53,0.354,24.0,101.1,107.6,-6.61,2017
Philadelphia 76ers,28,54,0.341,25.0,102.4,108.1,-5.83,2017
Brooklyn Nets,20,62,0.244,33.0,105.8,112.5,-6.74,2017
Toronto Raptors,59,23,0.72,0.0,111.7,103.9,7.29,2018
Boston Celtics,55,27,0.671,4.0,104.0,100.4,3.23,2018
Philadelphia 76ers,52,30,0.634,7.0,109.8,105.3,4.3,2018
Cleveland Cavaliers,50,32,0.61,9.0,110.9,109.9,0.59,2018
Indiana Pacers,48,34,0.585,11.0,105.6,104.2,1.18,2018
Miami Heat,44,38,0.537,15.0,103.4,102.9,0.15,2018
Milwaukee Bucks,44,38,0.537,15.0,106.5,106.8,-0.45,2018
Washington Wizards,43,39,0.524,16.0,106.6,106.0,0.53,2018
Detroit Pistons,39,43,0.476,20.0,103.8,103.9,-0.26,2018
Charlotte Hornets,36,46,0.439,23.0,108.2,108.0,0.07,2018
New York Knicks,29,53,0.354,30.0,104.5,108.0,-3.53,2018
Brooklyn Nets,28,54,0.341,31.0,106.6,110.3,-3.67,2018
Chicago Bulls,27,55,0.329,32.0,102.9,110.0,-6.84,2018
Orlando Magic,25,57,0.305,34.0,103.4,108.2,-4.92,2018
Atlanta Hawks,24,58,0.293,35.0,103.4,108.8,-5.3,2018
Milwaukee Bucks,60,22,0.732,0.0,118.1,109.3,8.04,2019
Toronto Raptors,58,24,0.707,2.0,114.4,108.4,5.49,2019
Philadelphia 76ers,51,31,0.622,9.0,115.2,112.5,2.25,2019
Boston Celtics,49,33,0.598,11.0,112.4,108.0,3.9,2019
Indiana Pacers,48,34,0.585,12.0,108.0,104.7,2.76,2019
Orlando Magic,42,40,0.512,18.0,107.3,106.6,0.28,2019
Brooklyn Nets,42,40,0.512,18.0,112.2,112.3,-0.4,2019
Detroit Pistons,41,41,0.5,19.0,107.0,107.3,-0.56,2019
Charlotte Hornets,39,43,0.476,21.0,110.7,111.8,-1.32,2019
Miami Heat,39,43,0.476,21.0,105.7,105.9,-0.45,2019
Washington Wizards,32,50,0.39,28.0,114.0,116.9,-3.3,2019
Atlanta Hawks,29,53,0.354,31.0,113.3,119.4,-6.06,2019
Chicago Bulls,22,60,0.268,38.0,104.9,113.4,-8.32,2019
Cleveland Cavaliers,19,63,0.232,41.0,104.5,114.1,-9.39,2019
New York Knicks,17,65,0.207,43.0,104.6,113.8,-8.93,2019
