Team Name,Player Link,Player,Pos,Seasons With Team,Year of Induction
LA CLIPPERS,https://www.nba.com/player/77498,Bob McAdoo,C-F,1973-1977,2000
LA CLIPPERS,https://www.nba.com/player/78450,Bill Walton,C,1980-1985,1993
LOS ANGELES LAKERS,https://www.nba.com/player/2200,Pau Gasol,F-C,2007-2014,2023
LOS ANGELES LAKERS,https://www.nba.com/player/77074,Lou Hudson,G-F,1978-1979,2022
LOS ANGELES LAKERS,https://www.nba.com/player/977,Kobe Bryant,G,1997-2016,2020
LOS ANGELES LAKERS,https://www.nba.com/player/124,Vlade Divac,C,"1990-1996, 2005",2019
LOS ANGELES LAKERS,https://www.nba.com/player/78097,Charlie Scott,G,1978,2018
LOS ANGELES LAKERS,https://www.nba.com/player/959,Steve Nash,G,2012-2014,2018
LOS ANGELES LAKERS,https://www.nba.com/player/406,Shaquille O'Neal,C,1997-2004,2016
LOS ANGELES LAKERS,https://www.nba.com/player/76133,Zelmo Beaty,C,1975,2016
LOS ANGELES LAKERS,https://www.nba.com/player/76981,Spencer Haywood,F,1980,2015
LOS ANGELES LAKERS,https://www.nba.com/player/77371,"Bobby ""Slick"" Leonard",G,1957-1961,2014
LOS ANGELES LAKERS,https://www.nba.com/player/782,Mitch Richmond,G,2002,2014
LOS ANGELES LAKERS,https://www.nba.com/player/56,Gary Payton,G,2004,2013
LOS ANGELES LAKERS,https://www.nba.com/player/78532,Jamaal Wilkes,F,1978-1985,2012
LOS ANGELES LAKERS,https://www.nba.com/player/23,Dennis Rodman,F,1999,2011
LOS ANGELES LAKERS,https://www.nba.com/player/252,Karl Malone,F,2004,2010
LOS ANGELES LAKERS,https://www.nba.com/player/76504,Adrian Dantley,F,1978-1979,2008
LOS ANGELES LAKERS,https://www.nba.com/player/1460,James Worthy,F,1983-1994,2003
LOS ANGELES LAKERS,https://www.nba.com/player/77142,Magic Johnson,G,"1980-1991, 1996",2002
LOS ANGELES LAKERS,https://www.nba.com/player/77498,Bob McAdoo,C-F,1982-1985,2000
LOS ANGELES LAKERS,https://www.nba.com/player/76832,Gail Goodrich,G,"1966-1968, 1971-1976",1996
LOS ANGELES LAKERS,https://www.nba.com/player/76003,Kareem Abdul-Jabbar,C,1976-1989,1995
